LAND_SF,YR_BUILT,NUM_FLOORS,NUM_PARK,NUM_RMS,NUM_BDRMS,NUM_FULL_BTH,NUM_HALF_BTH,ZIP_CODE,AV_TOTAL
1800.0,1900.0,3.0,0.0,17.0,8.0,3.0,0.0,2128.0,733700
1358.0,1989.0,1.0,2.0,4.0,2.0,2.0,0.0,2129.0,1107800
360.0,1910.0,1.0,0.0,2.0,0.0,1.0,0.0,2215.0,309500
707.0,1899.0,1.0,0.0,2.0,0.0,1.0,0.0,2210.0,580300
4950.0,1954.0,2.0,0.0,14.0,6.0,3.0,0.0,2135.0,861800
2500.0,1900.0,2.0,0.0,10.0,5.0,2.0,0.0,2128.0,463100
408.0,1880.0,1.0,0.0,3.0,1.0,1.0,0.0,2109.0,329600
1304.0,1900.0,1.0,0.0,6.0,2.0,1.0,0.0,2130.0,484600
700.0,1896.0,1.0,0.0,4.0,2.0,1.0,0.0,2109.0,543300
5737.0,1904.0,2.0,0.0,0.0,0.0,0.0,0.0,2130.0,0
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,36200
11250.0,1969.0,1.0,0.0,8.0,3.0,2.0,0.0,2136.0,408800
5358.0,2003.0,2.0,0.0,8.0,4.0,2.0,1.0,2136.0,553400
1149.0,2005.0,1.0,0.0,5.0,2.0,2.0,0.0,2113.0,908600
941.0,1991.0,1.0,1.0,5.0,2.0,1.0,0.0,2124.0,151500
485.0,1900.0,1.0,0.0,3.0,1.0,1.0,0.0,2215.0,372400
3280.0,1940.0,1.0,0.0,0.0,0.0,0.0,0.0,2128.0,650000
3843.0,1935.0,2.0,0.0,12.0,6.0,2.0,0.0,2124.0,516400
5250.0,1920.0,2.0,0.0,10.0,4.0,2.0,0.0,2132.0,624200
2222.0,1880.0,2.0,2.0,9.0,4.0,2.0,0.0,2130.0,588100
3600.0,1895.0,2.0,0.0,9.0,4.0,1.0,1.0,2130.0,633200
1192.0,1890.0,2.0,0.0,5.0,2.0,1.0,0.0,2118.0,878700
5753.0,1921.0,1.0,0.0,6.0,3.0,1.0,0.0,2132.0,380200
1280.0,2007.0,1.0,1.0,5.0,3.0,2.0,0.0,2128.0,457800
1463.0,1987.0,1.0,1.0,5.0,2.0,2.0,0.0,2110.0,1838138
3777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,31300
3746.0,1905.0,2.0,0.0,14.0,4.0,2.0,0.0,2125.0,621200
1861.0,2016.0,2.0,2.0,5.0,2.0,2.0,0.0,2124.0,529400
1166.0,1885.0,3.0,0.0,0.0,0.0,0.0,0.0,2129.0,0
6140.0,1999.0,6.0,0.0,0.0,0.0,0.0,0.0,2118.0,0
3378.0,1899.0,3.0,0.0,20.0,11.0,3.0,0.0,2128.0,631600
15750.0,1910.0,2.5,0.0,17.0,9.0,5.0,0.0,2134.0,2177728
7250.0,1950.0,1.0,0.0,7.0,3.0,2.0,0.0,2136.0,393900
1440.0,1890.0,2.0,1.0,5.0,2.0,1.0,1.0,2127.0,528100
3085.0,1880.0,2.0,0.0,8.0,4.0,2.0,0.0,2130.0,752500
5579.0,1913.0,2.0,0.0,7.0,4.0,1.0,1.0,2132.0,474600
